10:02:57 [info] [LOG SESSION] ---------- START ----------
10:02:57 [info] [PluginFactory] loading plugins
10:02:57 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libpulseout.so
10:02:57 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libsupereqdsp.so
10:02:57 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libhttpdatastream.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libstockencoders.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libmpris.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libalsaout.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libserver.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libnullout.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libtaglibreader.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libffmpegdecoder.so
10:02:58 [info] [PluginFactory] loaded: /usr/share/musikcube/plugins/libgmedecoder.so
